Date,Player1,Player2,Winner,Winner_Elo_Before,Winner_Elo_After,Loser_Elo_Before,Loser_Elo_After
2025-05-29T09:51:40.755202,Matt,Alfie,Alfie,1200,1220,1200,1181
2025-05-29T11:37:18.124818,Matt,Alfie,Matt,1181,1203,1220,1199
2025-05-29T12:53:00.137971,Matt,Alfie,Alfie,1199,1219,1203,1184
2025-05-29T15:03:46.279919,Matt,Alfie,Alfie,1219,1237,1184,1167
2025-06-02T11:07:26.320505,Matt,Alfie,Matt,1167,1191,1237,1214
2025-06-02T12:39:02.952284,Matt,Jakub,Jakub,1200,1219,1191,1173
2025-06-02T13:44:33.758319,Jakub,Alfie,Alfie,1214,1234,1219,1200
2025-06-02T13:53:39.871056,Jakub,Alfie,Alfie,1234,1252,1200,1183
2025-06-02T15:47:41.257246,Matt,Alfie,Alfie,1252,1268,1173,1158
2025-06-02T17:03:02.673769,Matt,Alfie,Alfie,1268,1282,1158,1145
2025-06-03T11:47:38.187417,Matt,Alfie,Matt,1145,1173,1282,1256
2025-06-03T13:16:43.494680,Matt,Alfie,Matt,1173,1198,1256,1233
2025-06-03T16:15:24.378140,Matt,Alfie,Alfie,1233,1247,1198,1184
2025-06-04T13:24:47.111111,Matt,Alfie,Matt,1184,1203,1247,1229
2025-06-04T14:53:05.371972,Jakub,Alfie,Alfie,1229,1246,1183,1167
2025-06-04T16:34:20.667222,Matt,Alfie,Alfie,1246,1260,1203,1190
2025-06-05T10:36:04.133110,Matt,Alfie,Matt,1190,1209,1260,1242
2025-06-05T13:19:13.991213,Matt,Alfie,Matt,1209,1227,1242,1225
2025-06-05T13:29:36.591038,Matt,Alfie,Alfie,1225,1241,1227,1212
2025-06-05T15:27:06.753937,Matt,Alfie,Matt,1212,1229,1241,1224
2025-06-09T11:10:57.702103,Matt,Alfie,Matt,1229,1245,1224,1209
2025-06-09T13:43:18.675200,Matt,Jakub,Jakub,1167,1191,1245,1222
2025-06-09T13:43:21.837623,Alfie,Jakub,Jakub,1191,1212,1209,1189
2025-06-10T14:50:26.263584,Matt,Alfie,Alfie,1189,1207,1222,1205
2025-06-10T14:50:31.616577,Matt,Alfie,Matt,1205,1221,1207,1192
2025-06-10T16:09:55.406307,Matt,Alfie,Alfie,1192,1209,1221,1204
2025-06-10T16:50:11.548269,Matt,Alfie,Alfie,1209,1225,1204,1189
2025-06-11T11:19:47.158770,Matt,Alfie,Matt,1189,1207,1225,1208
2025-06-11T14:47:43.515976,Matt,Alfie,Alfie,1208,1224,1207,1192
2025-06-11T17:13:51.589462,Matt,Alfie,Alfie,1224,1239,1192,1178
2025-06-18T10:13:42.652893,Matt,Alfie,Matt,1178,1197,1239,1221
2025-06-18T12:16:51.952443,Matt,Alfie,Alfie,1221,1236,1197,1183
2025-06-18T13:22:35.471821,Matt,Alfie,Alfie,1236,1250,1183,1170
2025-06-18T15:33:10.400752,Alfie,Matt,Alfie,1250,1262,1170,1158
2025-06-18T16:17:33.192056,Matt,Alfie,Alfie,1262,1273,1158,1147
2025-06-20T09:52:03.154876,Jakub,Alfie,Alfie,1273,1290,1212,1196
2025-06-20T12:45:09.307593,Jakub,Alfie,Alfie,1290,1305,1196,1182
2025-06-23T11:43:41.383299,Matt,Alfie,Alfie,1305,1314,1147,1138
2025-06-23T17:08:03.367141,Matt,Alfie,Alfie,1314,1323,1138,1130
